ENTOLLSTATIONHEX,EntryHour,EntryCount
37010824,10,1193
37010824,11,977
37010824,12,1001
37010824,13,1171
37010824,14,1268
37010824,15,1210
37010824,16,1178
37010824,17,1193
37010824,18,720
37010824,19,536
37010824,20,398
37010824,21,302
37010824,22,211
37010824,23,122
37010825,0,45
37010825,1,44
37010825,2,41
37010825,3,57
37010825,4,116
37010825,5,454
37010825,6,856
37010825,7,1046
37010825,8,1182
37010825,9,962
37010825,10,912
37010825,11,734
37010825,12,776
37010825,13,911
37010825,14,969
37010825,15,1000
37010825,16,1004
37010825,17,903
37010825,18,596
37010825,19,359
37010825,20,287
37010825,21,212
37010825,22,136
37010825,23,78
37010827,0,80
37010827,1,56
37010827,2,46
37010827,3,68
37010827,4,125
37010827,5,208
37010827,6,498
37010827,7,627
37010827,8,867
37010827,9,884
37010827,10,706
37010827,11,631
37010827,12,603
37010827,13,630
37010827,14,722
