EXTOLLSTATIONHEX,ExitHour,ExitCount
37010835,10,1012
37010835,11,898
37010835,12,705
37010835,13,812
37010835,14,1006
37010835,15,1031
37010835,16,1069
37010835,17,1267
37010835,18,1011
37010835,19,531
37010835,20,432
37010835,21,333
37010835,22,181
37010835,23,126
37010841,0,147
37010841,1,166
37010841,2,125
37010841,3,99
37010841,4,146
37010841,5,181
37010841,6,456
37010841,7,1518
37010841,8,1800
37010841,9,1648
37010841,10,1660
37010841,11,1468
37010841,12,1315
37010841,13,1325
37010841,14,1560
37010841,15,1620
37010841,16,1886
37010841,17,2056
37010841,18,1556
37010841,19,858
37010841,20,642
37010841,21,475
37010841,22,328
37010841,23,239
37010842,0,188
37010842,1,121
37010842,2,76
37010842,3,67
37010842,4,69
37010842,5,128
37010842,6,364
37010842,7,1421
37010842,8,1955
37010842,9,1924
37010842,10,1894
37010842,11,1845
37010842,12,1602
37010842,13,1719
37010842,14,1941
37010842,15,2141
37010842,16,2747
37010842,17,3868
37010842,18,2544
37010842,19,1288
37010842,20,914
37010842,21,668
37010842,22,462
37010842,23,283
37010843,0,202
37010843,1,203
37010843,2,120
37010843,3,121
37010843,4,110
37010843,5,137
37010843,6,445
37010843,7,1915
37010843,8,1960
37010843,9,1669
37010843,10,1532
37010843,11,1421
37010843,12,1301
37010843,13,1399
37010843,14,1529
37010843,15,1646
37010843,16,1963
37010843,17,1939
37010843,18,1398
37010843,19,881
37010843,20,689
37010843,21,529
37010843,22,408
37010843,23,284
37010851,0,54
37010851,1,56
37010851,2,24
37010851,3,27
37010851,4,39
37010851,5,66
37010851,6,161
37010851,7,378
37010851,8,545
37010851,9,683
37010851,10,601
37010851,11,496
37010851,12,431
37010851,13,435
37010851,14,447
