HEX,Downstream_HEX,Probability
3C101F,3C1011,0.6585956416464891
3C101F,3D1013,0.3414043583535109
3C1021,3C100F,0.6604434961517945
3C1021,3D1017,0.33955650384820546
3C1023,3C100E,0.6002696739396911
3C1023,3D1016,0.3997303260603089
3C1025,3D1007,0.5635113847916369
3C1025,3C100D,0.4364886152083632
3C1027,3C1005,0.538875857875076
3C1027,3D1009,0.461124142124924
3C1201,3C1202,0.8603389830508474
3C1201,3D4107,0.13966101694915253
3C1202,3C1203,0.7954002832670128
3C1202,3D1219,0.20459971673298713
3C1203,3C1212,0.7991529715048566
3C1203,3C7F03,0.2008470284951434
3C1205,3C120B,0.770197486535009
3C1205,3D1217,0.22980251346499103
3C120B,3C120C,0.8414128217470032
3C120B,3D1213,0.15858717825299687
3C120C,3D1215,1.0
3C1212,3C1205,0.6279654924514737
3C1212,3C7207,0.2887011742151929
3C1212,3D7104,0.08333333333333333
3C1214,3C120C,0.525129168623767
3C1214,3D1210,0.474870831376233
3C1216,3D120F,1.0
3C1218,3D1206,0.7317772552617996
3C1218,3C120B,0.2682227447382004
3C121A,3D1209,0.705946303649083
3C121A,3C1203,0.294053696350917
3C121C,3C1201,1.0
3C121E,3C1001,0.9439781715193589
3C121E,3D101B,0.05602182848064104
3C1404,3C0D01,1.0
3C1501,3C150F,0.9214345959691328
3C1501,3C1C02,0.07856540403086723
3C150F,3C151E,0.7280083971016456
3C150F,3D1523,0.27199160289835445
3C1510,3C1511,0.9558915320063804
3C1510,3D890D,0.04410846799361953
3C1511,3C1530,0.8131578947368421
3C1511,3D1529,0.1868421052631579
3C1513,3C1514,0.7700029445619295
3C1513,3D152C,0.2299970554380705
3C1514,3C1515,0.7475229163355057
3C1514,3D152E,0.25247708366449423
3C1515,3D3C02,0.5012113928155821
3C1515,3C8C05,0.39623037448253495
3C1515,3D320A,0.1025582327018829
3C151E,3C1510,0.9597214736259414
3C151E,3D1525,0.04027852637405859
3C1524,3D151C,0.8483985245243052
3C1524,3C151E,0.15160147547569483
3C1526,3D151F,0.5942982456140351
3C1526,3C1510,0.4057017543859649
3C152A,3D151A,0.715773169262542
3C152A,3C1530,0.284226830737458
3C152B,3D1520,0.6140314569536424
3C152B,3C1513,0.38596854304635764
3C152D,3C1514,0.5149844092851369
3C152D,3D1518,0.48501559071486317
3C152F,3D1517,0.6040853412303137
3C152F,3C1515,0.39591465876968635
3C1530,3C1513,0.9145829554582438
3C1530,3D1522,0.08541704454175628
3C1601,3D990A,0.7277217092548851
3C1601,3C1605,0.2722782907451149
3C1605,3C0A11,0.9319484747682072
3C1605,3D0A06,0.06805152523179277
3C1701,3D1722,1.0
3C1717,3C181E,0.5638234712052246
3C1717,3D181D,0.43617652879477536
3C1721,3C1701,1.0
3C1723,3D1706,1.0
3C1725,3C172B,0.50920245398773
3C1725,3D1705,0.49079754601226994
3C172B,3C172D,1.0
3C172D,3C8E0F,0.6956875508543532
3C172D,3D8D08,0.30431244914564687
